,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.199,0.226,0.22481111761851783,0.3480824414481857,3.135352357741539e-07,0.030968086628884395,0.004738798753085582,50,0.0,0.0,0.0,1000,191664963
1,0.457,0.46,0.4575367058969557,0.5867985505432034,9.103206223359805e-05,0.011859420227137152,0.0010684945199588292,50,0.0,0.0,0.0,1000,1662057957
2,0.837,0.837,0.8966524839638204,0.7287338942308018,0.011373296838912417,0.0008585149537202463,0.007526583643286955,50,0.0,0.0,0.0,1000,1405681631
3,0.613,0.627,0.6325591162085261,0.4873328293025154,0.0005371944507772675,0.0054038220689303085,0.042853561816664776,50,0.0,0.0,0.0,1000,942484272
4,0.177,0.18,0.21118364742500764,0.2480910402443689,0.039183140044219744,0.03554399714189482,0.002183293917236817,50,0.0,0.0,0.0,1000,929893137
5,0.135,0.148,0.1617489520430832,0.32397473311979763,0.0008170611110466242,0.041858798149544074,0.0046343576557364985,50,0.0,0.0,0.0,1000,1843824992
6,0.953,0.944,0.9378403846069502,0.9767239435056199,9.69188080232053e-05,0.00010846801496289249,0.007526583643287066,50,0.0,0.0,0.0,1000,184566854
7,0.52,0.552,0.541605290908738,0.5710293417019905,7.266706568698211e-06,0.007890186139561273,0.004629007386573125,50,0.0,0.0,0.0,1000,1497586438
8,0.698,0.703,0.7210533840055771,0.9110046462179369,0.00023634278649042884,0.0029515891214958456,0.028698629950118848,50,0.0,0.0,0.0,1000,432652533
9,0.163,0.18,0.1363593873438025,0.14170321326917706,0.02636114000719114,0.03671609167420342,0.010742659802316146,50,0.0,0.0,0.0,1000,202244314
10,0.121,0.111,0.12136095882215082,0.26192917927643866,0.00678401574323928,0.048471703407406475,0.0010684945196812734,50,0.0,0.0,0.0,1000,1130604997
